0,0,0,0,0,0,0,0,0,0.00025621,0.00072622,0.0010052,0.0010976,0.0010052,0.00072622,0.00025621,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5.7225e-05,0.00089323,0.0017895,0.0022088,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022088,0.0017895,0.00089323,5.7225e-05,0,0,0,0,0,0
0,0,0,0,0,0.00055573,0.0019034,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0019034,0.00055573,0,0,0,0,0
0,0,0,0,0.00096444,0.002186,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.002186,0.00096444,0,0,0,0
0,0,0,0.00096444,0.0022095,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022095,0.00096444,0,0,0
0,0,0.00055573,0.002186,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.002186,0.00055573,0,0
0,5.7225e-05,0.0019034,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0019034,5.7225e-05,0
0,0.00089323,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.00089323,0
0,0.0017895,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0017895,0
0.00025621,0.0022088,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022105,0.0022088,0.00025621
